Rank,Name,Lex,Con,List
1 ,逼我重生是吧,幼儿园一把手|都市·都市生活|连载, 年少有为的程逐在网上看到了一个问题：“如果给你一个回到过去重生的机会，你想要吗？”作为圈子里公认的逼气最重的人，程逐看着评论区里几千条的想要重生，直接装起来了，回了句“不想”，并配上了银行卡里那亮眼的余额截图。然而下一刻......他重生了！……本书又名《好女孩别辜负，坏女孩别浪费》、《谁说我只想搞钱，成年人不做选择》、《浪子把头都浪掉了，怎么个回法》、《叫你心中无女人，没叫你身边没女人》等。 ,最新更新 第五百一十章 背后的男人是谁？·2024-05-15 23:56
2 ,高武纪元,烽仙|玄幻·高武世界|连载, 从南洋深海中飞起的黑龙，掀起灭世海啸……火焰魔灵毁灭一座座钢筋水泥城市，于核爆中心安然离去……域外神明试图统治整片星海……这是人类科技高度发达的未来世界。也是掀起生命进化狂潮的高武纪元。即将高考的武道学生李源，心怀能观想星海的奇异神宫，在这个世界艰难前行。多年以后。“我现在的飞行速度是122682米/每秒，力量爆发是……”李源在距蓝星表层约180公里的大气层中极速飞行，冰冷眸子盯着昏暗虚空尽头那条形似神话传说中神龙的庞然大物：“你，应该是所有入侵半神生命体中最强的一个了。”“只可惜，现在的我，可以称之为……武神！”————已完成高订11万作品《渊天尊》，高订3万作品《洪主》，精品《寒天帝》，人品保证，放心入坑。 ,最新更新 第221章 七星脉的传说（求月票）·2024-05-16 14:26
3 ,宿命之环,爱潜水的乌贼|玄幻·异世大陆|连载, 诡秘世界第二部。1368之年，七月之末，深红将从天而降。 ,最新更新 第四十章 狡诈·2024-05-16 12:30
4 ,天才俱乐部,城城与蝉|科幻·时空穿梭|连载, “从出生开始，我每天都会做一个同样的梦，梦里不断重复着同样的一天。”“你在梦里都做了什么？”“抢银行、炸大楼、泡妹子、侠盗飞车……反正是梦里，自然做了很多无法无天的事。”“说说你昨晚做了什么吧。”“昨天就比较有意思了。我做梦这么久，还是第一次梦见现实中认识的人。那是一个很漂亮的女孩……”“嗯嗯。”警察蜀黍一边记笔录一边点点头：“你继续说，我在听。” ,最新更新 第46章 未来相见（月票加更！）·2024-05-15 23:04
5 ,文豪1978,坐望敬亭|都市·都市生活|连载, 社畜林朝阳为了工作忙的连相亲都没时间，穿越后娶了知青点最美的女知青陶玉书。以为是抱上了美娇娘，结果对方考上大学后便断了联系。家里人为此饱受闲言碎语的困扰，林朝阳却满不在乎，改革开放的浪潮正滚滚而来，只争朝夕，时不我待，他哪有空为了一个女知青浪费时间？他本打算利用先奋斗几年赚上几个小目标，然后迅速躺平，从此当一条咸鱼，弥补自己上辈子兢兢业业赚钱却未曾享受过一天自在生活的遗憾。可还没等他实施计划，消失了半年、音讯全无的女知青却突然出现在生产队。“朝阳，跟我去燕京吧！”女知青如是说。创业未半，先吃软饭。可他一个初中学历，进城能干什么呢？老丈人说：先进燕大当个图书管理员吧。林朝阳本以为从此过上了男同志们梦寐以求的生活，可谁能想到，原本柔情似水、知书达理的女知青竟然是个隐藏的卷王。她自己卷也就算了，还要拉着林朝阳一起卷。为了家庭的和睦，林朝阳只能把自己包装成了文化人。2万均订老书《1980我的文艺时代》已完结，量大管饱。 ,最新更新 第201章 惊心动魄的一幕·2024-05-16 09:02
6 ,乱世书,姬叉|玄幻·东方玄幻|连载, 仗剑江湖载酒行，楚腰纤细掌中轻。少年肩扛长刀，腰间挂酒，大步前行，心中的江湖却隐约难见。乱世书中翻一页，江湖夜雨数十年。蓦然回首，已劈碎了人间。 ,最新更新 第八百七十六章 风起·2024-05-15 23:36
7 ,终极火力,如水意|都市·都市生活|连载, 这个世界不只是普通人熟知的模样，还有个常人不会接触的地下世界。政府特工在暗中处理麻烦，财阀雇养的杀手在私下解决问题。有杀手，佣兵，军火商，还有特工，有把这个世界串联起来的暗网，也有试图用金钱控制一切的财阀。高毅闯进了地下世界，近战无敌的他打出了自己的领域。但是这个世界有枪。七步之外，枪快。七步之内，枪又准又快。三步之内才是高毅的拳快。打不过就加入，高毅选择全都要。全都要，成为佣兵圈里的杀手之王，杀手眼中的特工之王，特工眼中的杀手之王，成为军火商眼中的情报之王。直到在整个地下世界加冕为王，高毅，就是终极火力。 ,最新更新 第83章 双响·2024-05-16 12:02
8 ,净土边缘,海棠灯|科幻·进化变异|连载, 《地球编年史》记载：2534年12月，罹患绝症的鹿不二私自染指禁忌力量，通过研究异鬼的生命结构，利用自身的病症创造出吞噬异鬼的能力，这种行为舍弃了生而为人的尊严，人人得而诛之！2535年8月，世界的悲剧，恶魔加冕称王。2536年5月，悲报，叛逆君王鹿不二正在向天主之城迫近！2537年7月，恭迎伟大的第四代神圣君主抵达他忠诚的天主之城！【非废土末世文】 ,最新更新 第277章 五百年前的高速路·2024-05-15 12:31
9 ,仙子，请听我解释,弥天大厦|仙侠·幻想修仙|连载, 大炎皇朝国祚一千三百余年。皇帝病危，太子监国，地方仙门盘踞，中央权相乱朝。一觉醒来，许元看到了深山的雨夜破庙，看到了诡异的断臂石佛，以及，那位篝火旁面掩薄纱的黑衣女子。......他成了最终BOSS第三子，身世清白、根正苗红的反派嫡系。虚假的反派锦衣玉食坐等被打脸，真实的反派一上来就被个大冰坨子拎着满世界逃。金手指?虚假的反派才靠金手指发家致富，真正的反派敢于直面惨淡的人生！“天不生我许长天，反派万古如长夜。”“........”“爹，救我！” ,最新更新 六百零六章 全都要·2024-05-15 21:37
10 ,赤心巡天,情何以甚|仙侠·古典仙侠|连载, （《赤心巡天》实体书已在全网发售。）上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸，乾坤百年描饿虎。天地至公如无情，我有赤心一颗、以巡天！——————欢迎来到，情何以甚的仙侠世界。 ,最新更新 蜉蝣求道——第十三卷总结与感言·2024-05-13 11:28
